song_id,song_name,artists,artists_id,popularity
1dg3qy5DjoJodawfOCgrTP,Run It Up (feat. Offset & Moneybagg Yo),"[{'artist_name': 'Lil Tjay', 'artist_id': '6jGMq4yGs7aQzuGsMgVgZR'}, {'artist_name': 'Offset', 'artist_id': '4DdkRBBYG6Yk9Ka8tdJ9BW'}, {'artist_name': 'Moneybagg Yo', 'artist_id': '3tJoFztHeIJkJWMrx0td2f'}]",,83
6BheQYyYJLJvfU0AlIGnhu,Almost Maybes,"[{'artist_name': 'Jordan Davis', 'artist_id': '77kULmXAQ6vWer7IIHdGzI'}]",,43
2HYvkdq6lpFXkVz9Tfqi8r,Big Gangsta,"[{'artist_name': 'Kevin Gates', 'artist_id': '1gPhS1zisyXr5dHTYZyiMe'}]",,81
26UxwWl9xCb83OynXELJcL,Masterpiece,"[{'artist_name': 'DaBaby', 'artist_id': '4r63FhuTkUYltbVAg5TQnk'}]",,80
6f3Slt0GbA2bPZlz0aIFXN,The Business,"[{'artist_name': 'Tiësto', 'artist_id': '2o5jDhtHVPhrJdv3cEQ99Z'}]",,94
4KIkADzoVm3A10E9qyjsQ5,4 Da Gang (with Roddy Ricch),"[{'artist_name': '42 Dugg', 'artist_id': '45gHcnDnMC15sgx3VL7ROG'}, {'artist_name': 'Roddy Ricch', 'artist_id': '757aE44tKEUQEqRuT6GnEB'}]",,78
33HO2V42Tc6xE0SbCg6vBj,Quicksand,"[{'artist_name': 'Morray', 'artist_id': '44vREmJC0OlVZjZaGLqVEd'}]",,73
4k2cAUUPp3VZdK4gwG9pxy,Pick Up Your Feelings,"[{'artist_name': 'Jazmine Sullivan', 'artist_id': '7gSjFKpVmDgC2MMsnN8CYq'}]",,58
2z0IupRlVRlDN5r2IVqHyN,Shy Away,"[{'artist_name': 'Twenty One Pilots', 'artist_id': '3YQKmKGau1PzlVlkL1iodx'}]",,84
2nqio0SfWg6gh2eCtfuMa5,Fifteen (Taylor’s Version),"[{'artist_name': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}]",,79
5byWPNSh2hi0ULmDxBgLyV,BIG PURR (Prrdd) (feat. Pooh Shiesty),"[{'artist_name': 'Coi Leray', 'artist_id': '6AMd49uBDJfhf30Ak2QR5s'}, {'artist_name': 'Pooh Shiesty', 'artist_id': '5F1aAS1duwlzExnPs3l2Xe'}]",,76
4iXDn9pu5Q9sxv45vE8Lak,Famous Friends,"[{'artist_name': 'Chris Young', 'artist_id': '4BYxqVkZyFjtik7crYLg5Q'}, {'artist_name': 'Kane Brown', 'artist_id': '3oSJ7TBVCWMDMiYjXNiCKE'}]",,74
5TWAIHYaOnYg4txfmCgon5,Nobody,"[{'artist_name': 'Dylan Scott', 'artist_id': '78YqeIji3mgAS2K1Maca6x'}]",,70
0NmuYnjETG3u3qx0OmEJev,Lil Bit,"[{'artist_name': 'Nelly', 'artist_id': '2gBjLmx6zQnFGQJCAQpRgw'}, {'artist_name': 'Florida Georgia Line', 'artist_id': '3b8QkneNDz4JHKKKlLgYZg'}]",,75
0BI0hfbmqybnd3TezrDME3,Met Him Last Night (feat. Ariana Grande),"[{'artist_name': 'Demi Lovato', 'artist_id': '6S2OmqARrzebs0tKUEyXyp'}, {'artist_name': 'Ariana Grande', 'artist_id': '66CXWjxzNUsdJxJ2JdwvnR'}]",,84
22bPsP2jCgbLUvh82U0Z3M,The Way I Loved You (Taylor’s Version),"[{'artist_name': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}]",,80
50DMJJpAeQv4fIpxZvQz2e,Monsters (feat. Demi Lovato and blackbear),"[{'artist_name': 'All Time Low', 'artist_id': '46gyXjRIvN1NL1eCB8GBxo'}, {'artist_name': 'Demi Lovato', 'artist_id': '6S2OmqARrzebs0tKUEyXyp'}, {'artist_name': 'blackbear', 'artist_id': '2cFrymmkijnjDg9SS92EPM'}]",,74
5NUXE8W12lWcUXgJRCjeEw,One Too Many,"[{'artist_name': 'Keith Urban', 'artist_id': '0u2FHSq3ln94y5Q57xazwf'}, {'artist_name': 'P!nk', 'artist_id': '1KCSPY1glIKqW2TotWuXOR'}]",,77
3cBsEDNhFI9E82vPj3kvi3,Wasted On You,"[{'artist_name': 'Morgan Wallen', 'artist_id': '4oUHIQIBe0LHzYfvXNW4QM'}]",,80
0XqQxKtAdYbOC8OVIjWLZD,Dancing With The Devil,"[{'artist_name': 'Demi Lovato', 'artist_id': '6S2OmqARrzebs0tKUEyXyp'}]",,71
7IhfjcaXuXCq20ZiAA7igK,Gone,"[{'artist_name': 'Dierks Bentley', 'artist_id': '7x8nK0m0cP2ksQf0mjWdPS'}]",,75
7eX3um6NpOQKWJMGCi97XD,Real As It Gets (feat. EST Gee),"[{'artist_name': 'Lil Baby', 'artist_id': '5f7VJjfbwm532GiveGC0ZK'}, {'artist_name': 'EST Gee', 'artist_id': '4FlG0V0jhLO4qGpayFOphj'}]",,81
